id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.656876,1710446207,73,1782368000,119902302.0,0.698051,0.645166,-0.04020625057656868,-5.76779,-107443928.49537706,-5.91036,2604959126.672,2714493896.672,2714493896.672,3.45,-81.07599,2024-03-28T17:21:18.050Z,0.00816959,7901.17379,2020-03-13T02:24:18.347Z,"{'times': 6.576423343457324, 'currency': 'usd', 'percentage': 657.6423343457324}",2025-08-01T11:55:33.762Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.287981,1660507148,75,2871952598,205857747.0,0.316425,0.28296,-0.028283048973534952,-8.94285,-168013302.76958346,-9.18848,5781805555.0,10000000000.0,,1.14,-74.90172,2024-03-16T02:30:23.904Z,0.095364,199.95629,2023-10-19T08:05:30.655Z,,2025-08-01T11:55:36.881Z
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,112.62,1636800634,76,1644489006,28966760.0,121.91,111.77,-9.295938931944846,-7.62498,-137811272.71660733,-7.76571,14544176.164091088,14612493.0,14612493.0,427.42,-73.80897,2021-09-11T09:15:00.668Z,0.215773,51781.43954,2018-08-23T00:00:00.000Z,"{'times': 12.309179850285581, 'currency': 'eth', 'percentage': 1230.9179850285582}",2025-08-01T11:55:36.185Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,4.93,1614773731,77,1614773731,51199383.0,5.05,4.91,-0.11803992390331164,-2.33603,-29326847.94127083,-1.78376,327372598.025507,327372598.025507,,5.26,-6.36184,2025-07-22T23:55:01.224Z,0.146839,3257.24398,2023-11-24T05:55:06.706Z,,2025-08-01T11:55:34.311Z
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.02314328,1611161917,78,2399838144,16123258.0,0.02440264,0.02277621,-0.001221978565803552,-5.01525,-86094688.5965426,-5.07258,69661350504.28207,103761120713.3094,,0.150073,-84.61309,2023-01-10T03:14:05.921Z,0.00827405,179.08449,2023-10-19T03:35:41.663Z,,2025-08-01T11:55:33.208Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3816.87,1609162880,79,1609162880,507324.0,4029.47,3784.71,-198.70709377998446,-4.94841,-89402805.65877628,-5.26343,421706.2595379512,421706.2595379512,,4216.2,-9.69269,2024-12-06T20:31:16.142Z,1459.69,160.84556,2025-04-09T01:45:22.546Z,,2025-08-01T11:55:34.038Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,115073.0,1604331301,80,1604331301,6713425.0,118709.0,114201.0,-3083.0354339518235,-2.6093,-42822808.07605505,-2.59981,13935.10132552011,13935.10132552011,,123777.0,-6.97152,2025-07-14T08:10:46.456Z,52119.0,120.93182,2024-09-06T21:01:52.094Z,,2025-08-01T11:55:34.575Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.35,1604252809,81,4598909389,255723680.0,2.52,2.32,-0.17046672498806803,-6.76078,-119497708.3111782,-6.93242,683425200.0,1959174110.0,1959174264.0,236.84,-99.01144,2021-04-01T13:29:41.564Z,1.98,17.96079,2025-06-22T20:30:12.846Z,,2025-08-01T11:55:33.287Z
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.098015,1590959564,82,3726062222,58641255.0,0.098849,0.097169,-0.000537239740593692,-0.54513,-8266207.444117546,-0.51689,16229368964.2,38009538368.25,,0.192754,-49.25216,2021-08-21T04:39:48.324Z,0.00039532,24644.26758,2019-07-22T00:00:00.000Z,"{'times': 2.582171624044811, 'currency': 'eth', 'percentage': 258.21716240448114}",2025-08-01T11:55:41.221Z
spx6900,spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,1.64,1522583886,83,1522583886,130149289.0,1.91,1.6,-0.2704225401042184,-14.16899,-268618670.61922646,-14.99655,930993086.0063922,930993086.0063922,1000000000.0,2.27,-28.47844,2025-07-28T11:24:33.852Z,0.00131808,123110.20482,2024-02-04T19:12:19.110Z,,2025-08-01T11:55:36.985Z
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.47382,1448161281,84,3314281621,80989737.0,0.529107,0.466942,-0.055244503583439464,-10.44193,-171695859.01330757,-10.59944,3058272222.2,6999203440.980435,10000000000.0,2.0,-76.41626,2024-01-31T15:02:47.304Z,0.306358,53.96295,2025-04-07T06:56:22.719Z,,2025-08-01T11:55:34.236Z
