symbol,priceChange,priceChangePercent,weightedAvgPrice,lastPrice,lastQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
OMNIUSDT,-0.0110,-0.270,4.1547,4.0660,6.77,4.0770,4.3060,4.0390,16419586.02,68218629.2434,1754289660000,1754376085312,113178930,113568876,389947
AMBUSDT,-0.0006190,-34.256,0.0019209,0.0011880,183238,0.0018070,0.0028810,0.0011200,34735751444.0,66723120.397096,1740041940000,1740128395904,130811805,131361556,549504
OCEANUSDT,0.11260,18.943,0.64549,0.70700,72,0.59440,0.71580,0.56460,102001641.0,65841451.8651,1719219660000,1719306061566,302110756,302547493,436733
1000FLOKIUSDT,-0.0004400,-0.404,0.1102510,0.1085200,153,0.1089600,0.1132600,0.1072700,595223125.0,65623954.06449,1754289660000,1754376086371,516818996,517225583,406588
PARTIUSDT,0.0279000,16.278,0.2004027,0.1993000,1910,0.1714000,0.2169000,0.1711000,324134600.0,64957433.1706,1754289660000,1754376085058,50168199,50624543,456329
ZRCUSDT,0.0007500,2.064,0.0390357,0.0370900,552,0.0363400,0.0454500,0.0348700,1564123547.0,61056603.03623,1754289660000,1754376086381,2278111,2733257,455130
PNUTUSDT,-0.0015100,-0.666,0.2286490,0.2251100,22,0.2266200,0.2346500,0.2221600,264483682.0,60473921.57813,1754289660000,1754376087009,559167852,559626443,458592
A2ZUSDT,-0.0004590,-8.368,0.0052526,0.0050260,19892,0.0054850,0.0055620,0.0049380,11510165486.0,60458788.232689,1754289660000,1754376084432,7640646,8096574,455911
ENSUSDT,0.507,1.965,26.488,26.312,0.2,25.805,27.150,25.751,2263044.2,59943094.424,1754289660000,1754376083214,545959176,546359640,400464
LDOUSDT,0.006500,0.700,0.940830,0.935000,18,0.928500,0.958300,0.921600,63468174.0,59712762.7283,1754289660000,1754376083663,538822422,539161934,339512
NEWTUSDT,0.0225000,6.418,0.3694074,0.3731000,184,0.3506000,0.3910000,0.3485000,159275660.0,58837613.2504,1754289660000,1754376085517,36262431,36538108,275678
STRAXUSDT,-0.1516000,-9.662,1.5234014,1.4174000,401,1.5690000,1.6191000,1.3280000,37657105.0,57366886.5831,1710406740000,1710493192492,54988741,55489531,500791
FUNUSDT,0.0000500,0.500,0.0106712,0.0100440,772,0.0099940,0.0113200,0.0098670,5282117003.0,56366695.728564,1754289660000,1754376086658,140696177,141320575,624398
ATOMUSDT,-0.027,-0.633,4.272,4.240,3.10,4.267,4.337,4.227,12902965.87,55124349.741,1754289660000,1754376086819,815756976,815928778,171802
INITUSDT,-0.0042000,-0.999,0.4252024,0.4161000,14,0.4203000,0.4398000,0.4100000,128619150.0,54689173.8855,1754289660000,1754376083829,77955544,78377579,422032
1000CATUSDT,0.0004150,4.558,0.0097978,0.0095200,96,0.0091050,0.0105000,0.0090530,5464532710.0,53540474.580274,1754289660000,1754376084483,88741826,89379349,637523
RENUSDT,0.00192,4.167,0.04716,0.04800,1828,0.04608,0.05796,0.04407,1125378544.0,53068149.60736,1733130000000,1733216405428,269989358,270373501,384141
UNFIUSDT,-0.100,-5.464,1.788,1.730,194.0,1.830,1.945,1.588,29086976.0,51995348.036,1730192400000,1730278827332,399600986,399871655,270532
AGTUSDT,-0.0000650,-1.320,0.0049343,0.0048580,1701,0.0049230,0.0057000,0.0046000,10357170619.0,51105543.176109,1754289660000,1754376087584,24778320,25258629,480159
FETUSDT,0.0034000,0.524,0.6549846,0.6517000,3,0.6483000,0.6690000,0.6383000,77877039.0,51008257.9481,1754289660000,1754376085485,575017381,575354542,337161
CUSDT,-0.0227700,-7.657,0.2881327,0.2746000,63,0.2973700,0.3037700,0.2727400,169224328.0,48759064.97345,1754289660000,1754376083463,58251261,58722704,471444
MOODENGUSDT,0.0006100,0.383,0.1616768,0.1600700,36,0.1594600,0.1670200,0.1584100,297718697.0,48134191.66803,1754289660000,1754376087109,359839504,360189250,349747
NEIROUSDT,-0.00000570,-1.443,0.00039671,0.00038930,18381,0.00039500,0.00040580,0.00038690,119947745066.0,47584100.3232198,1754289660000,1754376086756,528936054,529151137,215084
GALAUSDT,0.00018,1.173,0.01558,0.01553,592,0.01535,0.01589,0.01524,2955113982.0,46053485.79792,1754289660000,1754376083670,837645239,837781864,136625
DGBUSDT,0.00305,18.862,0.01762,0.01922,405,0.01617,0.02010,0.01504,2592148978.0,45674718.93021,1711875600000,1711962006678,73500982,73732762,231779
GUNUSDT,0.0033200,12.360,0.0298624,0.0301800,734,0.0268600,0.0317500,0.0267100,1516589043.0,45289010.94981,1754289660000,1754376086399,44659738,44987000,327262
TROYUSDT,-0.0001310,-41.195,0.0002014,0.0001870,994090,0.0003180,0.0003180,0.0001510,219797446170.0,44261336.491637,1744534860000,1744621282100,85412216,85608815,196429
POPCATUSDT,0.0067000,2.238,0.3073316,0.3061000,37,0.2994000,0.3176000,0.2984000,143609532.0,44135750.5633,1754289660000,1754376085466,241084915,241284182,199266
MKRUSDT,-38.40,-1.992,1923.01,1889.60,0.003,1928.00,1976.90,1864.70,22359.145,42996966.39,1754289660000,1754376080110,462569137,462882093,312954
EIGENUSDT,0.0149000,1.332,1.1466521,1.1338000,1.0,1.1189000,1.1846000,1.1112000,35906429.4,41172181.0104,1754289660000,1754376083834,226707688,227127064,419377
SYNUSDT,0.0272000,22.132,0.1442883,0.1501000,479,0.1229000,0.1578000,0.1222000,284595094.0,41063741.0655,1754289660000,1754376086246,54056456,54312555,256100
